"","date","surface","groundwater","other"
"1",2020-01-01,1913,369.4,902
"2",2020-02-01,1913,369.4,902
"3",2020-03-01,1913,369.4,902
"4",2020-04-01,1913,369.4,902
"5",2020-05-01,1913,369.4,902
"6",2020-06-01,1913,369.4,902
"7",2020-07-01,1913,369.4,902
"8",2020-08-01,1913,369.4,902
"9",2020-09-01,1913,369.4,902
"10",2020-10-01,1913,369.4,902
"11",2020-11-01,1913,369.4,902
"12",2020-12-01,1913,369.4,902
"13",2021-01-01,1913,369.4,902
"14",2021-02-01,1913,369.4,902
"15",2021-03-01,1913,369.4,902
"16",2021-04-01,1913,369.4,902
"17",2021-05-01,1913,369.4,902
"18",2021-06-01,1913,369.4,902
"19",2021-07-01,1913,369.4,902
"20",2021-08-01,1913,369.4,902
"21",2021-09-01,1913,369.4,902
"22",2021-10-01,1913,369.4,902
"23",2021-11-01,1913,369.4,902
"24",2021-12-01,1913,369.4,902
"25",2022-01-01,1913,369.4,902
"26",2022-02-01,1913,369.4,902
"27",2022-03-01,1913,369.4,902
"28",2022-04-01,1913,369.4,902
"29",2022-05-01,1913,369.4,902
"30",2022-06-01,1873.14583333333,369.4,902
"31",2022-07-01,1833.29166666667,369.4,902
"32",2022-08-01,1793.4375,369.4,902
"33",2022-09-01,1753.58333333333,369.4,902
"34",2022-10-01,1713.72916666667,369.4,902
"35",2022-11-01,1673.875,369.4,902
"36",2022-12-01,1634.02083333333,369.4,902
"37",2023-01-01,1594.16666666667,369.4,902
"38",2023-02-01,1554.3125,369.4,902
"39",2023-03-01,1514.45833333333,369.4,902
"40",2023-04-01,1474.60416666667,369.4,902
"41",2023-05-01,1434.75,369.4,902
"42",2023-06-01,1434.75,369.4,902
"43",2023-07-01,1434.75,369.4,902
"44",2023-08-01,1434.75,369.4,902
"45",2023-09-01,1434.75,369.4,902
"46",2023-10-01,1434.75,369.4,902
"47",2023-11-01,1434.75,369.4,902
"48",2023-12-01,1434.75,369.4,902
"49",2024-01-01,1434.75,369.4,902
"50",2024-02-01,1434.75,369.4,902
"51",2024-03-01,1434.75,369.4,902
"52",2024-04-01,1434.75,369.4,902
"53",2024-05-01,1434.75,369.4,902
"54",2024-06-01,1434.75,369.4,902
"55",2024-07-01,1434.75,369.4,902
"56",2024-08-01,1434.75,369.4,902
"57",2024-09-01,1434.75,369.4,902
"58",2024-10-01,1434.75,369.4,902
"59",2024-11-01,1434.75,369.4,902
"60",2024-12-01,1434.75,369.4,902
"61",2025-01-01,1434.75,369.4,902
"62",2025-02-01,1434.75,369.4,902
"63",2025-03-01,1434.75,369.4,902
"64",2025-04-01,1434.75,369.4,902
"65",2025-05-01,1434.75,369.4,902
"66",2025-06-01,1434.75,369.4,902
"67",2025-07-01,1434.75,369.4,902
"68",2025-08-01,1434.75,369.4,902
"69",2025-09-01,1434.75,369.4,902
"70",2025-10-01,1434.75,369.4,902
"71",2025-11-01,1434.75,369.4,902
"72",2025-12-01,1434.75,369.4,902
"73",2026-01-01,1434.75,369.4,902
"74",2026-02-01,1434.75,369.4,902
"75",2026-03-01,1434.75,369.4,902
"76",2026-04-01,1434.75,369.4,902
"77",2026-05-01,1434.75,369.4,902
"78",2026-06-01,1434.75,369.4,902
"79",2026-07-01,1434.75,369.4,902
"80",2026-08-01,1434.75,369.4,902
"81",2026-09-01,1434.75,369.4,902
"82",2026-10-01,1434.75,369.4,902
"83",2026-11-01,1913,369.4,902
"84",2026-12-01,1913,369.4,902
"85",2027-01-01,1913,369.4,902
"86",2027-02-01,1913,369.4,902
"87",2027-03-01,1913,369.4,902
"88",2027-04-01,1913,369.4,902
"89",2027-05-01,1913,369.4,902
"90",2027-06-01,1913,369.4,902
"91",2027-07-01,1913,369.4,902
"92",2027-08-01,1913,369.4,902
"93",2027-09-01,1913,369.4,902
"94",2027-10-01,1913,369.4,902
"95",2027-11-01,1913,369.4,902
"96",2027-12-01,1913,369.4,902
"97",2028-01-01,1913,369.4,902
"98",2028-02-01,1913,369.4,902
"99",2028-03-01,1913,369.4,902
"100",2028-04-01,1913,369.4,902
"101",2028-05-01,1913,369.4,902
"102",2028-06-01,1913,369.4,902
"103",2028-07-01,1913,369.4,902
"104",2028-08-01,1913,369.4,902
"105",2028-09-01,1913,369.4,902
"106",2028-10-01,1913,369.4,902
"107",2028-11-01,1913,369.4,902
"108",2028-12-01,1913,369.4,902
"109",2029-01-01,1913,369.4,902
"110",2029-02-01,1913,369.4,902
"111",2029-03-01,1913,369.4,902
"112",2029-04-01,1913,369.4,902
"113",2029-05-01,1913,369.4,902
"114",2029-06-01,1913,369.4,902
"115",2029-07-01,1913,369.4,902
"116",2029-08-01,1913,369.4,902
"117",2029-09-01,1913,369.4,902
"118",2029-10-01,1913,369.4,902
"119",2029-11-01,1913,369.4,902
"120",2029-12-01,1913,369.4,902
